assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,timeOnIce,wins,season,completeGamePct,completeGames,goalsFor,goalsForAverage,incompleteGames,qualityStart,qualityStartsPct,regulationLosses,regulationWins,shotsAgainstPer60,season_year,name_key,heightInInches,weightInPounds,birthCity,birthCountry,draftYear,draftRound,draftOverall,player_name_cw,team_cw,position_cw,cap_hit
0,22,17,Joonas Korpisalo,0,78,4.14715,Korpisalo,11,0,2,8476914,0,0.87697,556,20212022,L,634,0,CBJ,67709,7,20212022,0.941176,16,52,2.76477,1,5,0.294117,11,6,33.708961,2022,joonas korpisalo,76,200,Pori,FIN,2012.0,3.0,1.0,Joonas Korpisalo,LAK,G,1300000.0
0,38,30,Samuel Montembeault,0,122,3.76772,Montembeault,18,6,0,8478470,0,0.89145,1002,20212022,L,1124,1,MTL,116569,8,20212022,0.866666,26,88,2.7177,4,13,0.433333,22,8,34.712488,2022,samuel montembeault,75,218,Becancour,CAN,2015.0,3.0,16.0,Samuel Montembeault,MTL,G,1000000.0
1,32,29,Kevin Lankinen,0,106,3.503,Lankinen,15,6,0,8480947,1,0.89105,867,20212022,L,973,0,CHI,108935,8,20212022,0.965517,28,83,2.74292,1,14,0.482758,21,6,32.154955,2022,kevin lankinen,74,190,Helsinki,FIN,,,,Kevin Lankinen,NSH,G,1500000.0
0,14,12,Erik Kallgren,0,43,3.30988,Kallgren,4,1,2,8478902,0,0.88831,342,20212022,L,385,1,TOR,46769,8,20212022,0.916666,11,49,3.77172,1,5,0.416666,5,7,29.635016,2022,erik kallgren,75,200,Stockholm,SWE,2015.0,7.0,2.0,,,,
0,35,35,Jake Allen,0,107,3.29625,Allen,20,4,2,8474596,0,0.90471,1016,20212022,L,1123,2,MTL,116860,9,20212022,0.885714,31,81,2.49529,4,21,0.6,24,8,34.595242,2022,jake allen,74,197,Fredericton,CAN,2008.0,2.0,4.0,Jake Allen,MTL,G,2875000.0
0,25,24,Mackenzie Blackwood,0,79,3.38801,Blackwood,10,4,0,8478406,0,0.89192,652,20212022,L,731,2,NJD,83943,9,20212022,0.875,21,70,3.00203,3,9,0.375,12,9,31.349844,2022,mackenzie blackwood,76,225,Thunder Bay,CAN,2015.0,2.0,12.0,MacKenzie Blackwood,NJD,G,2800000.0
0,27,24,Chris Driedger,0,73,2.96266,Driedger,14,1,4,8476904,0,0.89889,649,20212022,L,722,1,SEA,88704,9,20212022,0.958333,23,70,2.8409,1,11,0.458333,15,9,29.301948,2022,chris driedger,76,210,Winnipeg,CAN,2012.0,3.0,15.0,,,,
1,31,28,Thomas Greiss,0,92,3.66112,Greiss,15,1,2,8471306,1,0.89073,750,20212022,L,842,0,DET,90464,10,20212022,0.75,21,59,2.34789,7,14,0.5,15,8,33.507252,2022,thomas greiss,74,219,Fussen,DEU,2004.0,3.0,29.0,Thomas Greiss,STL,G,1250000.0
1,19,16,Eric Comrie,0,44,2.57607,Comrie,5,1,0,8477480,1,0.92,506,20212022,L,550,1,WPG,61489,10,20212022,1.0,16,50,2.92735,0,10,0.625,5,9,32.200882,2022,eric comrie,73,190,Edmonton,CAN,2013.0,2.0,29.0,Eric Comrie,BUF,G,1800000.0
0,24,22,Braden Holtby,0,61,2.77595,Holtby,10,1,2,8474651,0,0.91285,639,20212022,L,700,0,DAL,79108,10,20212022,0.90909,20,55,2.5029,2,13,0.590909,10,8,31.855185,2022,braden holtby,73,215,Lloydminster,CAN,2008.0,4.0,2.0,,,,
0,24,21,Laurent Brossoit,0,62,2.90299,Brossoit,9,3,0,8476316,0,0.89455,526,20212022,L,588,1,VGK,76886,10,20212022,0.95238,20,62,2.90299,1,10,0.47619,12,9,27.53167,2022,laurent brossoit,75,203,Port Alberni,CAN,2011.0,6.0,13.0,Laurent Brossoit,VGK,G,2325000.0
0,31,29,Semyon Varlamov,0,87,2.91248,Varlamov,17,2,0,8473575,0,0.91104,891,20212022,L,978,2,NYI,107537,10,20212022,1.0,29,73,2.44381,0,18,0.620689,17,9,32.74036,2022,semyon varlamov,74,201,Samara,RUS,2006.0,1.0,23.0,Semyon Varlamov,NYI,G,5000000.0
0,29,28,Dustin Tokarski,0,91,3.26665,Tokarski,12,5,0,8474682,0,0.89888,809,20212022,L,900,1,BUF,100286,10,20212022,0.928571,26,73,2.6205,2,15,0.535714,16,9,32.3076,2022,dustin tokarski,72,198,Watson,CAN,2008.0,5.0,1.0,,,,
2,25,22,Adin Hill,0,61,2.65998,Hill,11,1,0,8478499,2,0.90586,587,20212022,L,648,2,SJS,82557,10,20212022,0.954545,21,58,2.52916,1,12,0.545454,12,10,28.25684,2022,adin hill,76,222,Comox,CAN,2015.0,3.0,15.0,Adin Hill,VGK,G,2175000.0
0,25,23,Nico Daws,0,66,3.11435,Daws,11,1,0,8482076,0,0.89303,551,20212022,L,617,0,NJD,76292,10,20212022,0.826086,19,65,3.06716,4,11,0.47826,11,8,29.114455,2022,nico daws,76,205,Munich,DEU,2020.0,3.0,22.0,,,,
0,19,17,Logan Thompson,0,49,2.67824,Thompson,5,3,0,8480313,0,0.91388,520,20212022,R,569,1,VGK,65864,10,20212022,1.0,17,65,3.55277,0,10,0.588235,5,10,31.10045,2022,logan thompson,76,207,Calgary,CAN,,,,Logan Thompson,VGK,G,766666.0
0,19,17,Brian Elliott,0,43,2.42614,Elliott,4,3,0,8470880,0,0.91206,446,20212022,L,489,1,TBL,63805,11,20212022,1.0,17,63,3.55458,0,8,0.470588,4,10,27.590314,2022,brian elliott,74,221,Newmarket,CAN,2003.0,9.0,30.0,Brian Elliott,TBL,G,900000.0
0,26,24,Casey DeSmith,0,66,2.79237,DeSmith,6,5,0,8479193,0,0.91417,703,20212022,L,769,3,PIT,85089,11,20212022,0.916666,22,72,3.04622,2,15,0.625,8,11,32.535345,2022,casey desmith,72,188,Rochester,USA,,,,Casey DeSmith,PIT,G,1800000.0
0,35,33,Martin Jones,0,114,3.4249,Jones,18,3,0,8474889,0,0.90008,1027,20212022,L,1141,0,PHI,119828,12,20212022,0.969696,32,96,2.88413,1,17,0.515151,21,11,34.279133,2022,martin jones,77,203,North Vancouver,CAN,,,,Martin Jones,SEA,G,2000000.0
0,20,18,Petr Mrazek,0,58,3.33935,Mrazek,6,0,0,8475852,0,0.88846,462,20212022,L,520,0,TOR,62527,12,20212022,0.833333,15,63,3.62723,3,6,0.333333,6,12,29.939066,2022,petr mrazek,74,192,Ostrava,CZE,2010.0,5.0,21.0,Petr Mrazek,CHI,G,3800000.0
1,28,23,Anthony Stolarz,0,67,2.66858,Stolarz,8,3,2,8476932,1,0.91718,742,20212022,L,809,3,ANA,90385,12,20212022,0.956521,22,72,2.86773,1,15,0.652173,10,11,32.222161,2022,anthony stolarz,78,248,Edison,USA,2012.0,2.0,15.0,Anthony Stolarz,ANA,G,950000.0
1,45,44,Carter Hart,0,137,3.15781,Hart,24,7,0,8479394,1,0.90492,1304,20212022,L,1441,1,PHI,156184,13,20212022,0.954545,42,104,2.39717,2,23,0.522727,27,13,33.21467,2022,carter hart,74,196,Sherwood Park,CAN,2016.0,2.0,18.0,Carter Hart,PHI,G,3979000.0
0,37,32,Scott Wedgewood,0,110,3.13817,Wedgewood,15,6,0,8475809,0,0.90968,1108,20212022,L,1218,1,"NJD,ARI,DAL",126188,13,20212022,1.0,32,95,2.71024,0,16,0.5,18,11,34.748153,2022,scott wedgewood,74,201,Brampton,CAN,2010.0,3.0,24.0,Scott Wedgewood,DAL,G,1000000.0
0,52,49,Karel Vejmelka,0,170,3.67801,Vejmelka,32,3,0,8478872,0,0.89814,1499,20212022,R,1669,1,ARI,166394,13,20212022,0.857142,42,107,2.31498,7,24,0.489795,34,13,36.109475,2022,karel vejmelka,76,221,Trebic,CZE,2015.0,5.0,24.0,Karel Vejmelka,ARI,G,2725000.0
1,23,19,Dan Vladar,0,57,2.75111,Vladar,6,2,0,8478435,1,0.90625,551,20212022,L,608,2,CGY,74588,13,20212022,1.0,19,71,3.42682,0,11,0.578947,7,12,29.345204,2022,dan vladar,77,209,Prague,CZE,2015.0,3.0,14.0,,,,
1,36,33,Kaapo Kahkonen,0,93,2.86602,Kahkonen,14,4,2,8478039,1,0.91193,963,20212022,L,1056,0,"MIN,SJS",116817,14,20212022,0.939393,31,97,2.98929,2,23,0.696969,15,13,32.543209,2022,kaapo kahkonen,74,217,Helsinki,FIN,2014.0,4.0,19.0,Kaapo Kahkonen,SJS,G,2750000.0
